,Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
230,Materialflusslehre ,Materialflusstechnik II , ,MedBV , , ,M.Sc. ab 1. Semester ,Sommersemester ,Prof. Dr. Sebastian Stober ,Univ.-Prof. Dr.-Ing. Hartmut Zadek ,deutsch , ,Vorlesung; Übung ,selbstständige Arbeit) ,Prüfungsordnung: ,Die Module 1 bis 5 sollten absolviert sein. ,"supervised (i.e, one gets a declarative description on how to do ", ,bewertete Studienleistungen vorzuweisen. , ,Einführung. 9. Auflage (26. September 2013). De Gruyter 
231,Materialflusstechnik I ,Materialflusstechnik und Logistik , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Dr. Ch. Steup ,"Prof. Dr.-Ing. habil. Dr.-Ing. E. h. Michael Schenk, Dr.-Ing. Elke ",englisch ,FIN: B.Sc. CV ,Vorlesung; Übung , , , ,"it), to self-driven and self-contained working (i.e., one gets a ","A crash course on the C language, novelties in C11, advanced ", , ,Oldenbourg. ISBN 978-3486721393 
232,Materialflusstechnik II ,Mathematik I (Lineare Algebra und analytische Geometrie) , ,MP , , ,B.Sc. ab 4. Semester ,Sommersemester ,Professur für Simulation ,Glistau ,deutsch ,FIN: B.Sc. INF ,Vorlesung; Übung , ,6 , ,declarative description on what to do) in context of a non-trival ,"topics and best practice for C development, DBMS/MMDB, ", , ,"Gunter Saake, Kai-Uwe Sattler, Andreas Heuer. Datenbanken: "
233,Materialflusstechnik und Logistik ,Mathematik II (Algebra und Analysis) , , , , ,M.Sc. ab 1. Semester ,Wintersemester ,Dr.-Ing. Christian Braune ,Univ.-Prof. Dr.-Ing. Hartmut Zadek ,deutsch ,FIN: B.Sc. INGINF ,Vorlesung; Übung ,Bachelor , ,"Intelligent Systems, Combinatorial Optimization, Logic, ","problem setting (i.e., low-level system development of some ","architecture overview, core data structures, row-/column ", , ,Implementierungstechniken. 3. Auflage (10. November 2011). 
234,Mathematik I (Lineare Algebra und analytische Geometrie) ,"Mathematik III (Stochastik, Statistik, Numerik, ", , , , ,B.Sc. ab 5. Semester ,Wintersemester ,Professur für Finanzierung und Banken ,"Prof. Dr.-Ing. habil. Dr.-Ing. E. h. Michael Schenk, Dr.-Ing. Elke ",deutsch ,FIN: B.Sc. WIF ,Vorlesung; Projekt ,Präsenzzeiten = 56 h: ,Voraussetzungen nach ,Modelling ,database internal components and features). ,"storage engine and memory management, physical operators ",Prüfungsleistung / -form: Referat , ,ISBN 978-3826691560 
235,Mathematik II (Algebra und Analysis) ,Differentialgleichungen) , , , , ,B.Sc. ab 5. Semester , ,Professur für Wirtschaftsinformatik I ,Glistau ,deutsch ,FIN: B.Sc. ,Vorlesung; Übung ,28 h Vorlesung / 28 h Übung ,Prüfungsordnung: ,and Programming skills , ,"and (compiled) query plan execution, concurrency control and ",Das Referat umfasst eine eigenständige und vertiefte schriftliche , ,"John L. Hennessy, David A. Patterson. Computer Architecture: A "
236,"Mathematik III (Stochastik, Statistik, Numerik, ","Mechanische Schwingungen, Struktur- und Maschinendynamik ", , , , ,M.Sc. ab 1. Semester ,Wintersemester ,"Professur für Angewandte Informatik, Multimedia and Security ",Dr. Volkmar Hinz ,Zuordnung zum ,FIN: B.Sc. WIF - Kernfach ,Vorlesung; Übung ,Selbstständiges Arbeiten = 94 h: , , , ,"multi-threading support, statistics and optimizations, hybrid ",Auseinandersetzung mit einem Problem aus dem ,Seite 388   Inhaltsverzeichnis ,Quantitative Approach. 5. Auflage. (7. November 2011). Morgan 
237,Differentialgleichungen) ,Mechatronics of machine tools , ,MuWC , , ,M.Sc. ab 1. Semester ,Sommersemester ,Professur für Angewandte Informatik / Wirtschaftsinformatik I ,"Dr. Horstfried Läpple, Dipl. Math. Karl-Albert Bebber ",Curriculum:  , ,Vorlesung; Übung; Praktikum ,"40 h Vor- und Nachbereitung Vorlesung, Prüfungsvorbereitung ",Bachelor: 5 , ,Lernziele & erworbene Kompetenzen: ,transactional and analytic processing. ,Arbeitszusammenhang der Lehrveranstaltung unter ,     ,Kaufmann. ISBN 978-0123838728 
238,"Mechanische Schwingungen, Struktur- und Maschinendynamik ",Mechatronic Actuators and Sensorees , ,MikWst , , ,B.Sc. ab 1. Semester ,Wintersemester ,Professur für Angewandte Informatik / Wirtschaftsinformatik I ,Professur für Marketing ,FIN: M.Sc. INF - Bereich Informatik , ,Vorlesung; Übung ,54 h Entwicklung eines Programmes in der Übung ,Master: 6 , ,Einarbeitung in einem anspruchsvollen wissenschaftli-chen , ,"Einbeziehung und Auswer-tung einschlägiger Literatur, sowie die ", ,Syd Logan. Cross-Platform Development in C++. 2. Auflage 
239,Mechatronik der Werkzeugmaschinen ,Medical Image Processing , ,MobCom , , ,B.Sc. ab 4. Semester ,Wintersemester ,Professur für Angewandte Informatik / Multimedia and Security ,Prof. Dr.-Ing. Andreas Nürnberger , ,FIN: B.Sc. CV ,Vorlesung ,Master , ,"Grundlagen der Informatik, Datenbanken, Programmierung ",Gebiet , ,Darstellung der Arbeit und die Vermittlung ihrer Ergebnisse im , ,(2008). Addison-Wesley Professional. ISBN 978-0321246424 
240,Mechatronische Aktoren und Sensoren ,Medical Visualization , , , , ,B.Sc. ab 3. Semester , ,Prof. Dr.-Ing. Jana Dittmann ,Hochschullehrer der FIN , ,FIN: B.Sc. INF ,Vorlesung; Praktikum ,Präsenzzeiten = 56 h: ,Voraussetzungen nach , ,"Erwerb relevanter Literatur zum Thema, Gegenüberste-lung von ",Argumentationstheorie ist ein interdisziplinäres Fachgebiet mit ,mündlichen Vortrag sowie in der anschließenden Diskussion. , , 
241,Medizinische Bildverarbeitung ,Mesh Processing , ,PBM , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester , ,Prof. Dr. Ernesto De Luca ,Professur für Logistik ,deutsch ,FIN: B.Sc. INF - Studienprofil - Web-Gründer ,Vorlesung; Praktikum ,28 h Vorlesung / 28 h Übung ,Prüfungsordnung: , ,Literaturinhalten anhand von eigens abgeleiteten ,"dem Ziel der Repräsentation, Analyse und Evaluation von Argu-",Die Ausarbeitungen müssen schriftlich vorliegen. , , 
242,Medizinische Visualisierung ,Measurement technology , ,Mod , , ,M.Sc. ab 1. Semester , ,Prof. Dr. rer. nat. Andreas Wendemuth (FEIT-IESK) ,"Hon.-Prof. K. Richter, Jun.-Prof. A. Katterfeld, FMB-ILM ",deutsch ,FIN: B.Sc. INGINF ,Vorlesung; Praktikum ,Selbstständiges Arbeiten = 124 h: , , ,Vergleichskriterien ,mentationen. Dabei betrachtet die Argumentationstheorie viele , , , 
243,Mesh Processing ,Methods of Virtual Engineering in Mechanics , , , , ,M.Sc. ab 1. Semester , ,"Dr. Schulze, FMB-IMS ","Jun.-Prof. A. Katterfeld, (weitere Lehrende: Hon.-Prof. K. ",deutsch ,FIN: B.Sc. WIF ,Vorlesung; Übung ,"40 h Vor- und Nachbereitung Vorlesung, Prüfungsvorbereitung ",5 , ,Zusammenfassung und kritische Würdigung von Literatur ,"Aspekte von Argumentationen, von denen in deduktiver ", ,"Burghardt, M. (1997): Projektmanagement: Leitfaden für die ", 
244,Messtechnik ,Middleware für verteilte industrielle Umgebungen , ,SimComNets , , ,B.Sc. ab 2. Semester ,Sommersemester ,"Prof. Omar, FEIT-IESK ","Richter), FMBILM ",englisch , ,Vorlesung; Übung; Praktikum ,54 h Entwicklung eines Programmes in der Übung , ,Grundlagen zu: Data Mining ,"zum vorgegebenen Thema, sowohl in mündlicher als auch in ",symboli-scher Logik (z.B. Prädikatenlogik erster Stufe) , ,"Planung, Überwachung und Steuerung von ", 
245,Methoden des Virtual Engineering in der Mechanik ,Mikrobiologie , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Professur für Konstruktionstechnik ,Hon.-Prof. Dr. K. Richter / Prof. Dr. H. Zadek ,deutsch , ,Vorlesung; Übung ,30 h Erstellen einer Applikation im Laufe des Semesters ,Voraussetzungen nach , ,schriftlicher Form ,typischerweise abs-trahiert wird: ,- Hausarbeit ,"Entwicklungsprojekten. 4. Aufl., Erlangen. ", 
246,Middleware für verteilte industrielle Umgebungen ,Microscopy and Characterization of Materials , , , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Wintersemester ,MK ,Professur für Geometrie ,englisch ,FIN: M.Sc. CV - Bereich Informatik ,Vorlesung; Übung , ,Prüfungsordnung: , , ,"Viele Behauptungen lassen sich nicht beweisen, sondern es gibt ",oder nach Beitritt zur Prüfungsordnung vom November 2013 , ,Seite 57   Inhaltsverzeichnis 
247,Mikrobiologie ,Mikrostruktur der Werkstoffe , ,MMSEC , , ,B.Sc. ab 3. Semester , ,Professur für Maschinenelemente und Tribologie ,Professur für Geometrie ,deutsch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung , , , , ,Argumente dafür und dagegen (Pro und Contra). ,- Referat , ,     
248,Mikroskopie und Werkstoffcharakterisierung ,Mobile Communication , ,MIR , , ,B.Sc. ab 3. Semester , ,Professur für Angewandte Informatik/ Rechnergestützte ,Professur für Geometrie ,deutsch ,FIN: M.Sc. DKE - Learning Methods & Models for Data Science ,Vorlesung ,Präsenzzeiten: ,5 , ,Seite 58   Inhaltsverzeichnis ,"Argumentationen können ein, zwei oder mehr Agenten ", , , 
249,Mikrostruktur der Werkstoffe ,Model-Driven Software Development , ,MIR , , ,M.Sc. ab 1. Semester ,Wintersemester ,Ingenieur-systeme ,"Prof. Strackeljan, IFME ",deutsch ,FIN: M.Sc. DKE (alt) - Bereich Models ,Vorlesung ,2 SWS Vorlesung , ,Veranstaltung „Datenbanken I“ und „Datenbanken II“ ,     ,"involvieren, die unterschiedlich kompetent oder ", , , 
250,Mobilkommunikation ,Modeling with population balances , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,"Dr. André Brechmann, LIN ","Prof. Möhring, FMB-IFQ ",deutsch ,FIN: M.Sc. DKE (alt) - Bereich Methods I ,Vorlesung ,Selbständiges Arbeiten: ,Voraussetzungen nach , , ,vertrauenswürdig sein können. ,Klausur (120 Minuten) , ,"I. Rahwan, G. R. Simari (eds): „Argumentation in Artificial "
251,Model-Driven Software Development ,Modeling , ,CE , , ,B.Sc. ab 3. Semester; M.Sc. ab 1. Semester , ,FIN: Lehrstuhl Praktische Informatik / Artificial Intelligence ,"Prof Kaspar, FMB-IMS ",deutsch ,FIN: M.Sc. INF - Bereich Informatik ,Vorlesung; Übung ,Vorlesungsnachbereitung ,Prüfungsordnung: , , ,"Diese Agenten können Argumente vorbringen, die sich ", , ,"Intelligence“, Springer, 2009. "
252,Modeling with population balances ,Modellierung und Expertensysteme in der elektrischen , , , , ,B.Sc. ab 6. Semester ,Sommersemester ,Dr. Bernd Reichel ,"Professur für Praktische Informatik / Bildverarbeitung, ",englisch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Übung ,90h = 2 SWS = 28h Präsenzzeit + 62h Selbstständige Arbeit , , , ,gegenseitig stützen oder angreifen. , , ,"P. Besnard , A. Hunter: „Elements of Argumentation“, MIT Press, "
253,Modellierung ,Energieversorgung , ,NarVis , , ,B.Sc. ab 1. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Dr.-Ing. Eike Schallehn ,Bildverste-hen ,englisch ,FIN: M.Sc. VC - Computer Science ,Vorlesung; Übung , ,5 , ,Lernziele & erworbene Kompetenzen: ,Oft werden Argumente nicht-deduktiv gestützt (beispielsweise ,Prüfung : mündlich , ,2008 
254,Modellierung und Expertensysteme in der elektrischen ,Modeling and Simulation of Computer Networks , ,NeuroSymbV , , ,B.Sc. ab 3. Semester ,Sommersemester ,Prof. Theoretische Informatik ,Prof. Dr. Bernhard Preim ,deutsch ,FIN: M.Sc. WIF - Bereich Informatik ,Ringvorlesung (2 SWS) und wissenschaftliche Projektarbeit mit , , ,"Grundlagen Statistik, Bildverarbeitung, und Visualisierung ","Grundlagen der Assistenzrobotik (mobile Roboter, ",mit Analogien). , , , 
255,Energieversorgung ,Molekulare Immunologie , ,NN , , ,B.Sc. ab 5. Semester; M.Sc. ab 1. Semester ,Sommersemester ,Lehrstuhl Theoretische Informatik ,Dr. Christian Rössl ,deutsch ,WPF CMA ,Vortrag (1 SWS) ,Präsenzzeiten: ,Voraussetzungen nach , ,"Industrieroboter, Sensorik) ",Die Schlüssigkeit des Arguments hängt vom Vorwissen und den , , , 
256,Modellierung und Simulation von Computernetzen ,Molekulare Zellbiologie , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Lehrstuhl für Theoretische Informatik ,"Priv.-Doz. Dr. rer. nat. habil. Ralf Lucklum, Dr.-Ing. Frank ",deutsch ,M 1-2 ,Vorlesung; Übung ,3 h Vorlesung pro Woche ,Prüfungsordnung: , ,Modellierung von Roboterkinematiken ,Interessen des Publikums ab. , , , 
257,Molekulare Immunologie ,Multimedia and Security , ,NMVC , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Logistische Systeme ,Eichelbaum ,deutsch ,PF IT ,Vorlesung; Übung ,1 h Übung pro Woche , , ,Voraussetzungen und Lösungsansätze bzgl. der Mensch ,"Wissensrepresentationssprachen, die auf deduktiver, ",Seite 106   Inhaltsverzeichnis , , 
258,Molekulare Zellbiologie ,Multimedia Retrieval , , , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Logistik ,"Prof. Gabbert, FMB-IFME ",englisch ,"D-IE 5, PF IT ",Seminar ,Selbstständiges Arbeiten: ,5 , ,Roboter-Kollaboration (MRK) und Mensch-Roboter-Interaktion ,"symbolischer Logik aufbauen, sind daher in der Regel nicht ",     ,"Grzegorz Rozenberg, Arto Salomaa: ", 
259,Multimedia and Security ,Music Information Retrieval , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,Professur für Logistik ,"Dr. Matthias Riedl, ifak e.V. Magdeburg ",englisch ,D-TIF 5 ,Vorlesung; Übung ,Eigenständige Vor- und Nachbereitung der Übungen150h = 4 , ,Datenbanken [100391] ,"Kenntnisse über die Sicherheitsvorgaben, Anwendung der ",geeignet um Argumentationen adäquat in , ,"The Mathematical Theory of L Systems. Academic Press, ", 
260,Multimedia Retrieval ,Sustainability , , , , ,B.Sc. ab 1. Semester; M.Sc. ab 1. Semester ,Wintersemester ,Professur für Logistik ,Prof. Dr.-Ing. U. Reichl / Dr. H. Grammel / Dr. K. Bettenbrock ,deutsch ,WPF MS ,Vorlesung; Übung ,SWS = 56h Präsenzzeit + 94h selbstständige Arbeit ,Voraussetzungen nach , ,Sicherheitsaspekte bei der Konzeption von MRK ,Informationssystemen zu repräsentieren. , ,"New York, 1980. ",Seite 59   Inhaltsverzeichnis 
261,Musik Information Retrieval ,Communications engineering , ,OC , , ,M.Sc. ab 1. Semester , ,"Institut für Simulation und Graphik, AG Lehramt ",Professur für Werkstoff- und Fügetechnik ,deutsch ,M 1-3 ,Vorlesung; Übung; Praktikum , ,Prüfungsordnung: , ,Fähigkeit Softwareframeworks in der Robotik anzuwenden ,In der Lehrveranstaltung werden sich die Studenten gemeinsam , ,"Przemyslaw Prusinkiewicz, Aristid Lindenmayer: ",     
262,Nachhaltigkeit ,Nachrichtenvermittlung I , ,OPE , , ,M.Sc. ab 1. Semester , ,Professur für Praktische Informatik / Datenbanken und ,Professur für Werkstofftechnik ,englisch ,WPF SPTE ,Vorlesung; Übung , , ,"Programming skills, basic knowledge in deep learning in ", ,"erarbeiten, wie man Argumente adäquat repräsentiert, ","Leistungen: CAD-Übungstestat (90 min), ","The Algorithmic Beauty of Plants. Springer-Verlag, ", 
263,Nachrichtentechnik für Informatiker ,Narrative Visualization , ,PSS , , ,M.Sc. ab 1. Semester ,Sommersemester ,Informationssysteme ,Prof. Dr. Mesut Güneş ,deutsch ,D ab 5 ,Vorlesung; Übung; Projekt ,Präsenzzeiten: ,5 ,connection to computer vision. , ,analysiert und evaluiert. ,Prüfung: schriftlich (120 min) ,"New York, 1990. ",Wird in der VL bekanntgegeben 
264,Nachrichtenvermittlung I ,Neural-symbolic Integration , ,PP , , ,M.Sc. ab 1. Semester ,Wintersemester ,Professur für Marketing ,Susanne Patig ,deutsch , ,Vorlesung; Übung ,2 SWS Vorlesung/Seminar , , ,Seite 60   Inhaltsverzeichnis , , , , 
265,Narrative Visualization ,Neural Networks , , , , ,M.Sc. ab 1. Semester ,jedes Semester ,Professur für Data and Knowledge Engineering ,Jun.-Prof. Dr.-Ing. M. Peglow ,deutsch , ,Vorlesung; Übung ,Selbstständiges Arbeiten: ,Voraussetzungen nach , ,     ,- Einführung in die Assistenzrobotik , , , 
266,Neural-symbolic Integration ,Nonlinear Finite Elements , ,P-ITSEC , , ,B.Sc. ab 3. Semester , ,Hochschullehrer der FIN ,Professur für Angewandte Informatik / Wirtschaftsinformatik I ,englisch ,FIN: B.Sc. WIF - Verstehen ,Vorlesung; Übung ,Eigenständige Vor- und Nachbereitung ,Prüfungsordnung: , , ,-Grundlagen der Assistenzrobotik (Modellierung von , , , 
267,Neuronale Netze ,Numerical Methods for Visual Computing , ,PPSW , , ,B.Sc. ab 7. Semester , ,Professur für Logistik ,Prof. Dr.-Ing. habil. Zbigniew Antoni Styczynski (FEIT-IESY) ,deutsch , ,Vorlesung; Übung ,150h = 2 SWS = 28h Präsenzzeit + 122h selbständige Arbeit , , , ,"Roboterkinematiken, Bahnplanung, Bewegungs- und ","Leistungen: CAD-Übungstestat (90 min), ", , 
268,Nichtlineare Finite Elemente ,Numerische Methoden der Biomechanik , , , , ,M.Sc. ab 1. Semester ,Sommersemester ,"Hon.-Prof. K. Richter, Jun.-Prof. A. Katterfeld, FMB-ILM ",Prof. Dr. Mesut Güneş ,englisch , ,Vorlesung; Übung , ,4 , ,Following topics in the field of VR/AR are addressed: ,"Kraftregelung, Sensoren, mobile Systeme) ",Prüfung: schriftlich (120 min) , , 
269,Numerical Methods for Visual Computing ,Numerische Methoden und FEM , , , , ,M.Sc. ab 1. Semester , ,"Jun.-Prof. A. Katterfeld, (weitere Lehrende: Hon.-Prof. K. ","FME, Prof. Dr. B. Schraven ",deutsch ,FIN: B.Sc. CV - WPF Informatik ,Vorlesung; Übung , , , ,- Introduction to VR/AR systems ,"-Mensch-Roboter-Kollaboration und Sicherheit: Technologien, ", , , 
270,Numerische Methoden der Biomechanik ,Optimal Control , , , , ,M.Sc. ab 1. Semester ,Wintersemester ,"Richter), FMBILM ","FME, Prof. Dr. M. Naumann ",deutsch ,FIN: B.Sc. INF - WPF Informatik ,Praktikum ,Präsenzzeiten: ,Voraussetzungen nach ,angebotsspezifisch ,- Perceptional aspects ,"Maschinensicherheit, Normen, Rechtslage ", , ,Seite 61   Inhaltsverzeichnis 
271,Numerische Methoden und FEM ,Organic Computing , , , , ,B.Sc. ab 1. Semester , ,Hon.-Prof. Dr. K. Richter / Prof. Dr. H. Zadek ,Professur für Angewandte Informatik / Multimedia and Security ,deutsch ,FIN: B.Sc. INGINF - WPF Informatik ,Praktikum ,2 SWS Vorlesung / 2 SWS PraktikumSelbstständiges Arbeiten: ,Prüfungsordnung: , ,- Input devices ,-KI-Verfahren in der Robotik , , ,     
272,Optimal Control ,- , ,PMod , , ,B.Sc. ab 1. Semester , ,Professur für Geometrie ,Prof. Dr.-Ing. Andreas Nürnberger ,englisch ,FIN: B.Sc. WIF - WPF Verstehen & Gestalten ,Vorlesung; Übung; Projekt ,Nacharbeiten der Vorlesung , , ,- Output devices ,- Softwareframeworks und Simulation ,Prüfungsvoraussetzung: Teilnahme an Vorlesungen und , , 
273,Organic Computing ,Parallel Storage Systems , ,PMV , , ,B.Sc. ab 4. Semester ,Sommersemester ,Professur für Geometrie ,Prof. Dr. Sebastian Stober ,deutsch ,FIN: B.Sc. WIF - WPF Gestalten & Anwenden ,Vorlesung; Übung ,Vor- und Nachbereiten des Praktikums ,6 , ,- AR components and types ,-Semesterbegleitendes Programmierprojekt ,Übungen (mind. 75%). ,Seite 433   Inhaltsverzeichnis , 
274,"Organisations- und Personalentwicklung, Teamarbeit, ",Parallel Programming , ,PGP , , ,B.Sc. ab 3. Semester ,Sommersemester ,Professur für Geometrie ,Dr. Hannah Wallis ,deutsch ,FIN: M.Sc. CV - Bereich Informatik ,Vorlesung; Übung ,Vorlesung: 3 CP = 90 h (28h Präsenzzeit + 62h selbstständige , , ,- Interaction techniques ,Virtual Reality (VR) and Augmented Reality (AR) systems are a ,"Schriftliche Prüfung, Notenskala gemäß Prüfungsordnung. ",     , 
275,Problemlösung in Gruppen (Grundlagen) ,Internship , , , , ,M.Sc. ab 1. Semester ,Wintersemester ,"Prof. Strackeljan, IFME ",Dr.-Ing. Hristomir Yordanov (Technical University Sofia) ,deutsch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Übung; Praktikum; Seminar ,Arbeit) Praktikum: 2 CP = 60 h (28h Präsenzzeit + 32h ,Voraussetzungen nach , ,- Case studies  ,"component of modern user interfaces in industry, ",Klausur 120 min und 90 min 3D-CAD (Summe K210) , , 
276,Parallel Storage Systems ,Praktikum IT Sicherheit , , , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester ,Wintersemester ,"Prof. Möhring, FMB-IFQ ",Professur für Hochfrequenz- und Kommunikationstechnik ,deutsch ,FIN: M.Sc. DKE - Data Processing for Data Science ,Vorlesung; Übung ,selbstständige Arbeit) ,Prüfungsordnung: , , ,entertainment and medicine. The design and implementation of , , , 
277,Parallele Programmierung ,Principles and Practices of Scientific Work and Soft Skills , , , , ,M.Sc. ab 1. Semester , ,"Prof Kaspar, FMB-IMS ",Prof. Dr.-Ing. Bernhard Preim / Dr. Monique Meuschke ,deutsch ,FIN: M.Sc. DKE (alt) - Bereich Methods I ,Vorlesung; Übung , , , , ,such systems is part of many development and research , , , 
